Qty,Value,Device,Package,Parts,Description,MF,MPN,OC_FARNELL,OC_NEWARK,PACKAGE,SUPPLIER
1,,LED,CHIPLED_0603,LED1,LED,,,,,,
1,,PHOTOTRANSISTOR,MTD8000M3B-T,Q1,phototransistor,,,,,,
11,0.1uF,CC0402-N,CAPC1005X55N,C20,,,,,,,
4,0.1uF,CC0603-N,CAPC1608X90N,C7,,,,,,,
1,10nF,CC0402-N,CAPC1005X55N,C41,Capacitor  (english/metric) cermaic capacitor nominal landpattern (N).,,,,,,
6,10uF,CC0805-N,CAPC2012X100N,C12,,,,,,,
4,1k,RR0402-N,RESC1005X35N,R23,,,,,,,
2,1uF,CC0402-N,CAPC1005X55N,C23,,,,,,,
4,1uF,CC0603-N,CAPC1608X90N,C1,,,,,,,
1,1uF,CC0805-N,CAPC2012X100N,C31,Capacitor  (english/metric) cermaic capacitor nominal landpattern (N).,,,,,,
2,2.2uF,CC0603-N,CAPC1608X90N,C5,,,,,,,
2,220nF,CC0402-N,CAPC1005X55N,C8,,,,,,,
2,3.3uF,CC0805-N,CAPC2012X100N,C10,,,,,,,
4,4.7k,RR0402-N,RESC1005X35N,R20,,,,,,,
2,52746-6,52746-6,52746-6,AUX,,,,,,,
1,A79043-001,A79043-001,OMNETCS-18PIN-SMD,H10,"Omnetics 18 Position Dual Row Female Nano-Miniature (.025/.64mm) Connector. Featuring 2 Guide Posts Holes and Vertical Surface Mount Tails.""",,,,,,
2,ALD1105,ALD1105,SO14MIN,U7,,,,,,,
1,AS1302BGA,AS1302BGA,BGA9C40P3X3_121X121X63B27N,U2,,,,,,,
1,CY8C3866,CY8C3866,QFN68_8MM_0.4PITCH,U4,,,,,,,
1,DG9409DN-T1-E4,DG9409DN-T1-E4,QFN65P400X400X100-17N,U9,Analog Multiplexers,,DG9409DN-T1-E4,-,65K2483,QFN-16,VISHAY SILICONIX
1,DIODE,DIODE,DO-216AA,D2,Diode,,,,,,
1,LED_RGB,LED_RGB,LED_RGB,RGB1,Kignbright APTF1616SEJ3ZGGVBDC,,,,,,
1,MAX865,MAX865,UMAX8,U3,,,,,,,
1,MIC5392/3,MIC5392/3,THIN_DFN,U1,Micrel High-Performance Dual 150mA LDO,,,,,,
1,PHOTOTRANSISTOR_D,PHOTOTRANSISTOR_D,OP501,Q2,,,,,,,
1,RHD2216,RHD2216,RHD2000,U6,,,,,,,
1,RN42,RN42,RN42,U5,Microchip (Roving Networks) RN42 Bluetooth module with antena.,,,,,,
4,SOLDERJUMPERNO,SOLDERJUMPERNO,SJ_2S-NO,SJ1,,,,,,,
1,SPST_TACT-KMR2,SPST_TACT-KMR2,KMR2,SW1,SMT 6mm switch,,,,,,
4,TEST-POINT,TEST-POINT,PAD1MMX1MM,TP10+,,,,,,,
1,USB,USB,USB-MICRO-B-TH,BAT,USB Micro-B Plug,,,,,,
